citta,settimana,all,6574,7584,85p
AOSTA,5,5,2,0,3
AOSTA,6,9,1,2,6
AOSTA,7,11,3,3,5
AOSTA,8,10,2,1,6
AOSTA,9,11,1,3,6
AOSTA,10,7,0,4,2
AOSTA,11,12,0,6,5
BARI,5,57,13,19,19
BARI,6,63,2,18,36
BARI,7,53,8,14,23
BARI,8,56,4,21,26
BARI,9,74,3,20,43
BARI,10,78,17,19,35
BARI,11,54,9,21,18
BOLOGNA,5,85,7,20,49
BOLOGNA,6,76,6,18,47
BOLOGNA,7,88,12,25,45
BOLOGNA,8,98,5,23,62
BOLOGNA,9,85,7,31,44
BOLOGNA,10,82,8,20,47
BOLOGNA,11,94,12,20,56
BOLZANO,5,28,2,8,11
BOLZANO,6,13,2,1,10
BOLZANO,7,24,4,3,14
BOLZANO,8,21,1,11,8
BOLZANO,9,24,1,5,15
BOLZANO,10,23,4,3,14
BOLZANO,11,33,7,13,10
BRESCIA,5,42,1,10,27
BRESCIA,6,35,3,14,18
BRESCIA,7,40,6,13,19
BRESCIA,8,28,5,7,13
BRESCIA,9,48,8,20,15
BRESCIA,10,84,13,30,37
BRESCIA,11,89,17,34,31
CIVITAVECCHIA,5,7,0,2,5
CIVITAVECCHIA,6,12,1,3,6
CIVITAVECCHIA,7,8,2,2,3
CIVITAVECCHIA,8,5,1,1,3
CIVITAVECCHIA,9,7,0,2,5
CIVITAVECCHIA,10,13,3,3,6
CIVITAVECCHIA,11,17,2,7,6
FROSINONE,5,2,0,0,2
FROSINONE,6,3,0,1,2
FROSINONE,7,6,0,1,5
FROSINONE,8,13,2,3,8
FROSINONE,9,6,2,2,2
FROSINONE,10,4,1,1,2
FROSINONE,11,3,1,0,2
GENOVA,5,144,14,39,85
GENOVA,6,169,22,49,88
GENOVA,7,163,17,46,86
GENOVA,8,128,9,33,74
GENOVA,9,152,17,45,77
GENOVA,10,211,25,54,114
GENOVA,11,288,26,102,148
MESSINA,5,53,4,13,33
MESSINA,6,48,9,13,23
MESSINA,7,65,8,25,30
MESSINA,8,56,9,9,28
MESSINA,9,50,8,13,23
MESSINA,10,49,5,12,28
MESSINA,11,61,9,14,30
MILANO,5,239,17,70,131
MILANO,6,231,28,53,135
MILANO,7,231,28,58,119
MILANO,8,243,31,62,130
MILANO,9,245,21,67,133
MILANO,10,337,36,94,174
MILANO,11,437,55,135,216
PALERMO,5,125,21,36,49
PALERMO,6,152,29,39,68
PALERMO,7,126,22,39,47
PALERMO,8,145,34,43,60
PALERMO,9,133,18,44,56
PALERMO,10,149,24,38,71
PALERMO,11,124,30,40,35
PERUGIA,5,43,4,10,24
PERUGIA,6,32,6,5,19
PERUGIA,7,35,3,10,17
PERUGIA,8,34,3,8,20
PERUGIA,9,45,6,11,26
PERUGIA,10,36,4,9,17
PERUGIA,11,34,4,14,12
POTENZA,5,7,2,1,3
POTENZA,6,12,3,4,4
POTENZA,7,8,0,4,4
POTENZA,8,12,0,1,10
POTENZA,9,16,1,7,7
POTENZA,10,8,0,1,7
POTENZA,11,18,2,3,13
ROMA,5,484,62,136,237
ROMA,6,506,70,141,248
ROMA,7,452,63,119,222
ROMA,8,480,63,138,215
ROMA,9,482,63,137,231
ROMA,10,487,64,142,236
ROMA,11,527,72,177,232
TORINO,5,176,21,55,84
TORINO,6,183,28,53,86
TORINO,7,171,11,63,82
TORINO,8,173,21,55,82
TORINO,9,190,23,59,91
TORINO,10,208,32,64,95
TORINO,11,230,22,77,115
VENEZIA,5,64,7,19,32
VENEZIA,6,53,5,19,27
VENEZIA,7,56,3,20,29
VENEZIA,8,66,6,23,32
VENEZIA,9,79,14,20,42
VENEZIA,10,69,9,19,37
VENEZIA,11,60,5,22,31
VERONA,5,60,5,15,36
VERONA,6,36,4,11,21
VERONA,7,48,6,16,24
VERONA,8,44,6,9,26
VERONA,9,51,6,14,25
VERONA,10,49,6,15,25
VERONA,11,54,1,17,30