Town,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
Aosta,5,9,11,10,11,7,12
Bolzano,28,13,24,21,24,23,33
Torino,176,183,171,174,192,210,238,309,358
Milano,239,232,233,247,247,339,475,584,647
Brescia,42,35,40,28,48,86,123,136,119
Verona,60,36,48,44,51,49,54
Venezia,64,53,56,66,79,69,60
Bologna,85,76,88,98,85,82,94
Genova,144,169,163,128,152,212,290,315,339
Perugia,43,32,35,34,45,36,34
Civitavecchia,7,12,8,5,7,13,17
Roma,484,506,453,480,483,490,540,521,547
Bari,57,63,53,56,74,78,54
Potenza,7,12,8,12,16,8,18
Messina,53,48,65,56,50,49,61
Palermo,125,152,126,145,133,149,124